customer_id,age,gender,item_purchased,category,purchase_amount_usd,location,size,color,season,review_rating,subscription_status,payment_method,shipping_type,discount_applied,promo_code_used,previous_purchases,frequency_of_purchases
1,33,Male,T-Shirt,Clothing,45.12,Texas,XL,Blue,Winter,2.6,Yes,Debit Card,2-Day Shipping,No,No,38,Weekly
2,55,Female,Loafers,Footwear,165.7,California,S,Purple,Fall,3.2,Yes,PayPal,Standard,Yes,Yes,6,Monthly
3,64,Female,Sunglasses,Accessories,116.52,Colorado,L,Blue,Fall,4.6,No,PayPal,2-Day Shipping,No,No,12,Every 3 Months
4,67,Female,T-Shirt,Clothing,197.34,Massachusetts,S,Blue,Winter,3.2,No,PayPal,Express,No,No,23,Monthly
5,61,Male,Sandals,Footwear,129.64,New York,XL,Black,Summer,3.7,Yes,Bank Transfer,Store Pickup,No,No,35,Bi-Weekly
6,20,Female,Hat,Accessories,92.21,Texas,S,Brown,Fall,3.0,No,Bank Transfer,Next Day Air,Yes,Yes,8,Bi-Weekly
7,43,Female,Backpack,Accessories,59.48,New York,XL,Pink,Spring,4.4,No,Debit Card,Store Pickup,No,No,10,Every 3 Months
8,42,Female,Parka,Outerwear,115.24,North Carolina,XS,Orange,Spring,4.2,No,PayPal,Store Pickup,Yes,Yes,18,Quarterly
9,64,Female,Loafers,Footwear,194.94,Arizona,S,Gray,Spring,4.7,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,9,Monthly
10,49,Male,Sneakers,Footwear,40.14,Pennsylvania,M,Black,Spring,3.1,No,Credit Card,Standard,No,No,46,Quarterly
11,26,Female,Hoodie,Clothing,190.43,New York,M,Gray,Winter,4.9,No,Bank Transfer,Store Pickup,No,No,12,Every 3 Months
12,59,Female,Backpack,Accessories,98.86,North Carolina,L,Blue,Summer,3.1,Yes,Venmo,2-Day Shipping,No,No,14,Annually
13,58,Male,Sneakers,Footwear,61.21,Colorado,XS,Yellow,Spring,3.8,Yes,Cash,Express,Yes,Yes,46,Annually
14,69,Female,Jacket,Outerwear,54.27,Texas,L,Yellow,Winter,3.5,No,Credit Card,Store Pickup,No,No,41,Every 3 Months
15,39,Male,T-Shirt,Clothing,64.76,Florida,XL,Pink,Summer,3.6,Yes,Debit Card,Standard,No,No,28,Annually
16,52,Male,T-Shirt,Clothing,194.42,Colorado,S,Green,Winter,3.7,Yes,Cash,Standard,No,No,10,Quarterly
17,68,Female,Blouse,Clothing,71.34,Oregon,XL,Orange,Winter,2.9,Yes,Credit Card,2-Day Shipping,Yes,No,3,Every 3 Months
18,48,Male,Hat,Accessories,30.24,North Carolina,XS,Green,Spring,4.0,No,Debit Card,Next Day Air,Yes,Yes,36,Bi-Weekly
19,60,Female,Skirt,Clothing,188.25,Florida,M,Black,Fall,3.5,No,PayPal,Next Day Air,Yes,Yes,48,Weekly
20,54,Male,Pants,Clothing,33.19,Florida,XL,White,Summer,4.8,No,Debit Card,Free Shipping,No,No,18,Bi-Weekly
21,57,Male,Parka,Outerwear,140.22,North Carolina,M,Orange,Spring,4.8,Yes,Credit Card,Standard,No,No,47,Annually
22,31,Female,Sandals,Footwear,56.65,Washington,M,Gray,Winter,3.1,No,Credit Card,Standard,Yes,Yes,17,Weekly
23,58,Female,Coat,Clothing,49.08,Georgia,XL,Purple,Spring,2.8,No,Bank Transfer,Express,No,No,34,Weekly
